0x48610000 TRP_TSD_MCU_IRAM_ENTRY

0x486586FC DPC_VS_CHM_V_COEFF_RAM23_END_REG
0x48659000 DPC_VS_PIPE1_LINEBUF_RAM0_START_REG
0x4865977C DPC_VS_PIPE1_LINEBUF_RAM0_END_REG
0x48659800 DPC_VS_PIPE1_LINEBUF_RAM1_START_REG
0x48659F7C DPC_VS_PIPE1_LINEBUF_RAM1_END_REG
0x4865A000 DPC_VS_PIPE1_LINEBUF_RAM2_START_REG
0x4865A7FC DPC_VS_PIPE1_LINEBUF_RAM2_END_REG
0x4865B000 DPC_VS_PIPE2_LINEBUF_RAM0_START_REG
0x4865B77C DPC_VS_PIPE2_LINEBUF_RAM0_END_REG
0x4865B800 DPC_VS_PIPE2_LINEBUF_RAM1_START_REG
0x4865BF7C DPC_VS_PIPE2_LINEBUF_RAM1_END_REG
0x4865C000 DPC_VS_PIPE2_LINEBUF_RAM2_START_REG
0x4865C7FC DPC_VS_PIPE2_LINEBUF_RAM2_END_REG
0x4865D000 DPC_VS_PIPE3_LINEBUF_RAM0_START_REG
0x4865D77C DPC_VS_PIPE3_LINEBUF_RAM0_END_REG
0x4865D800 DPC_VS_PIPE3_LINEBUF_RAM1_START_REG
0x4865DF7C DPC_VS_PIPE3_LINEBUF_RAM1_END_REG
0x4865E000 DPC_VS_PIPE3_LINEBUF_RAM2_START_REG
0x4865E7FC DPC_VS_PIPE3_LINEBUF_RAM2_END_REG

0x48668000 DPC_XVDO_BASE
0x48668000 DPC_XVDO_CFG_REG
0x48668004 DPC_XVDO_SRC_SIZE_REG
0x48668008 DPC_XVDO_H_FIR_COEF_01_REG
0x4866800C DPC_XVDO_H_FIR_COEF_23_REG
0x48668010 DPC_XVDO_H_FIR_COEF_4_REG
0x48668014 DPC_XVDO_H_SCALE_PAR_REG
0x48668018 DPC_XVDO_H_DDA_PAR_REG
0x4866801C DPC_XVDO_H_DDA_START_REG
0x48668020 DPC_XVDO_V_SCALE_PAR_REG
0x48668024 DPC_XVDO_V_DDA_PAR_REG
0x48668028 DPC_XVDO_V_DDA_START_REG
0x4866802C DPC_XVDO_LUM_WRITEBACK_DST01_REG
0x48668030 DPC_XVDO_LUM_WRITEBACK_SIZE0_REG
0x48668034 DPC_XVDO_LUM_WRITEBACK_SIZE1_REG
0x48668038 DPC_XVDO_CHM_WRITEBACK_DST01_REG
0x4866803C DPC_XVDO_CHM_WRITEBACK_SIZE0_REG
0x48668040 DPC_XVDO_CHM_WRITEBACK_SIZE1_REG
0x48668100 DPC_XVDO_BUF_EVEN_RAM_START_REG
0x4866817F DPC_XVDO_BUF_EVEN_RAM_END_REG
0x48668180 DPC_XVDO_BUF_ODD_RAM_START_REG
0x486681FF DPC_XVDO_BUF_ODD_RAM_END_REG
0x48669000 DPC_XVDO_V_EVEN_RAM_START_REG
0x4866959C DPC_XVDO_V_EVEN_RAM_END_REG
0x48669800 DPC_XVDO_V_ODD_RAM_START_REG
0x48669D9C DPC_XVDO_V_ODD_RAM_END_REG
0x4866FFFC DPC_END

0x48687000 CVD2_CVD1_CONTROL0
0x48687004 CVD2_CVD1_CONTROL1
0x48687008 CVD2_CVD1_CONTROL2
0x4868700C CVD2_YC_SEPARATION_CONTROL
0x48687010 CVD2_LUMA_AGC_VALUE
0x48687014 CVD2_NOISE_THRESHOLD
0x48687018 CVD2_AGC_GATE_THRESHOL_ADC_SWAP
0x4868701C CVD2_OUTPUT_CONTROL
0x48687020 CVD2_LUMA_CONTRAST_ADJUSTMENT
0x48687024 CVD2_LUMA_BRIGHTNESS_ADJUSTMENT
0x48687028 CVD2_CHROMA_SATURATION_ADJUSTMENT
0x4868702C CVD2_CHROMA_HUE_PHASE_ADJUSTMENT
0x48687030 CVD2_CHROMA_AGC
0x48687034 CVD2_CHROMA_KILL0
0x48687038 CVD2_CHROMA_KILL1
0x4868703C CVD2_MISC_CONTROLS
0x48687040 CVD2_AGC_PEAK_NOMINAL
0x48687044 CVD2_AGC_PEAK_AND_GATE_CONTROLS
0x48687048 BLUE_SCREEN_Y
0x4868704C BLUE_SCREEN_CB
0x48687050 BLUE_SCREEN_CR
0x48687054 HDETECT_CLAMP_LEVEL
0x48687058 CVD2_LOCK_COUNT
0x4868705C CVD2_H_LOOP_MAXSTATE
0x48687060 CVD2_CHROMA_DTO_INCREMENT_0
0x48687064 CVD2_CHROMA_DTO_INCREMENT_1
0x48687068 CVD2_CHROMA_DTO_INCREMENT_2
0x4868706C CVD2_CHROMA_DTO_INCREMENT_3
0x48687070 CVD2_HORIZONTAL_SYNC_DTO_INCREMENT_0
0x48687074 CVD2_HORIZONTAL_SYNC_DTO_INCREMENT_1
0x48687078 CVD2_HORIZONTAL_SYNC_DTO_INCREMENT_2
0x4868707C CVD2_HORIZONTAL_SYNC_DTO_INCREMENT_3
0x48687080 CVD2_HORIZONTAL_SYNC_RISING_EDGE_OCCURRENCE_TIME
0x48687084 CVD2_HORIZONTAL_SYNC_PHASE_OFFSET
0x48687088 CVD2_HORIZONTAL_SYNC_DETECT_WINDOW_START_TIME
0x4868708C CVD2_HORIZONTAL_SYNC_DETECT_WINDOW_END_TIME
0x48687090 CVD2_CLAMPAGC_CONTROL
0x48687094 CVD2_HORIZONTAL_SYNC_WIDTH_STATUS
0x48687098 CVD2_HORIZONTAL_SYNC_RISING_EDGE_DETECT_WINDOW_START_TIME
0x4868709C CVD2_HORIZONTAL_SYNC_RISING_EDGE_DETECT_WINDOW_END_TIME
0x486870A0 CVD2_DRSECAM
0x486870A4 CVD2_DB_FREQ
0x486870A8 CVD2_HSYNC_FILTER_GATE_START_TIME
0x486870AC CVD2_HSYNC_FILTER_GATE_END_TIME
0x486870B0 CVD2_CHROMA_BURST_GATE_START_TIME
0x486870B4 CVD2_CHROMA_BURST_GATE_END_TIME
0x486870B8 CVD2_ACTIVE_VIDEO_HORIZONTAL_START_TIME
0x486870BC CVD2_ACTIVE_VIDEO_HORIZONTAL_WIDTH
0x486870C0 CVD2_ACTIVE_VIDEO_VERTICAL_START
0x486870C4 CVD2_ACTIVE_VIDEO_VERTICAL_HEIGHT
0x486870C8 CVD2_VSYNC_H_LOCKOUT_START
0x486870CC CVD2_VSYNC_H_LOCKOUT_END
0x486870D0 CVD2_VSYNC_AGC_LOCKOUT_START
0x486870D4 CVD2_VSYNC_AGC_LOCKOUT_END
0x486870D8 CVD2_VSYNC_VBI_LOCKOUT_START
0x486870DC CVD2_VSYNC_VBI_LOCKOUT_END
0x486870E0 CVD2_VSYNC_CNTL
0x486870E4 CVD2_VSYNC_TIME_CONSTANT
0x486870E8 CVD2_CVD1_STATUS_REGISTER_1
0x486870EC CVD2_CVD1_STATUS_REGISTER_2
0x486870F0 CVD2_CVD1_STATUS_REGISTER_3
0x486870F4 CVD2_CVD1_DEBUG_ANALOG
0x486870F8 CVD2_CVD1_DEBUG_DIGITAL
0x486870FC CVD2_CVD1_RESET_REGISTER
0x48687100 CVD2_CVD1_TELETEXT_VBI_FRAME_CODE_REGISTER0
0x48687104 CVD2_CVD1_TELETEXT_VBI_FRAME_CODE_REGISTER1
0x48687108 CVD2_CVD1_DATA_HIGH_LEVEL_REGISTER
0x4868710C CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE7
0x48687110 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE8
0x48687114 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE9
0x48687118 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE10
0x4868711C CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE11
0x48687120 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE12
0x48687124 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE13
0x48687128 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE14
0x4868712C CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE15
0x48687130 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE16
0x48687134 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE17
0x48687138 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE18
0x4868713C CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE19
0x48687140 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE20
0x48687144 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE21
0x48687148 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE22
0x4868714C CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE23
0x48687150 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_REMAINING_LINES0
0x48687154 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_REMAINING_LINES1
0x48687158 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_REMAINING_LINES2
0x4868715C CVD2_CVD1_VBI_LOOP_FILTER_1_GAIN_REGISTER0
0x48687160 CVD2_CVD1_VBI_LOOP_FILTER_1_GAIN_REGISTER1
0x48687164 CVD2_UPPER_BYTE_CVD1_VBI_CLOSE_CAPTION_DTO_REGISTER
0x48687168 CVD2_LOWER_BYTE_CVD1_VBI_CLOSE_CAPTION_DTO_REGISTER
0x4868716C CVD2_UPPER_BYTE_CVD1_VBI_TELETEXT_DTO_REGISTER
0x48687170 CVD2_LOWER_BYTE_CVD1_VBI_TELETEXT_DTO_REGISTER
0x48687174 CVD2_UPPER_BYTE_CVD1_VBI_WSS625WSSJ_DTO_REGISTER
0x48687178 CVD2_LOWER_BYTE_CVD1_VBI_WSS625WSSJ_DTO_REGISTER
0x4868717C CVD2_CVD1_VBI_CLOSE_CAPTION_DATA1_REGISTER0
0x48687180 CVD2_CVD1_VBI_CLOSE_CAPTION_DATA1_REGISTER1
0x48687184 CVD2_CVD1_VBI_CLOSE_CAPTION_DATA1_REGISTER2
0x48687188 CVD2_CVD1_VBI_CLOSE_CAPTION_DATA1_REGISTER3
0x4868718C CVD2_CVD1_VBI_CLOSE_CAPTION_DATA2_REGISTER3
0x48687190 CVD2_CVD1_VBI_CLOSE_CAPTION_DATA1_REGISTER4
0x48687194 CVD2_CVD1_VBI_DATA_STATUS_REGISTER
0x48687198 CVD2_CVD1_VBI_CAPTION_START_REGISTER
0x4868719C CVD2_CVD1_VBI_WSS625WSSJ_START_REGISTER
0x486871A0 CVD2_CVD1_VBI_TELETEXT_START_REGISTER
0x486871A8 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE6
0x486871B4 CVD2_CVD1_VBI_WSS_DATA2_REGISTER
0x486871B8 CVD2_CVD1_VBI_WSS_DATA1_REGISTER
0x486871BC CVD2_CVD1_VBI_WSS_DATA0_REGISTER
0x486871C0 CVD2_HORIZONTAL_SYNC_DTO_INCREMENT_STATUS0
0x486871C4 CVD2_HORIZONTAL_SYNC_DTO_INCREMENT_STATUS1
0x486871C8 CVD2_HORIZONTAL_SYNC_DTO_INCREMENT_STATUS2
0x486871CC CVD2_HORIZONTAL_SYNC_DTO_INCREMENT_STATUS3
0x486871D0 CVD2_CHROMA_SYNC_DTO_INCREMENT_STATUS0
0x486871D4 CVD2_CHROMA_SYNC_DTO_INCREMENT_STATUS1
0x486871D8 CVD2_CHROMA_SYNC_DTO_INCREMENT_STATUS2
0x486871DC CVD2_CHROMA_SYNC_DTO_INCREMENT_STATUS3
0x486871E0 CVD2_AGC_GAIN_STATUS_MSB
