ZMon>rlkup *
0x48500000 FIRST_BEETLE_REG
0x48500000 GENCLK_GLOBAL_CTRL_REG
0x48500004 GENCLK_CLOCK_SELECT_1_REG
0x48500008 GENCLK_CLOCK_ENABLE_REG
0x4850000C GENCLK_TEST_CLOCK_SELECT_REG
0x48500010 GENCLK_PIN_MUX_0_REG
0x48500014 GENCLK_PIN_MUX_1_REG
0x48500018 GENCLK_UNIT_SOFT_RESET_PULSE_REG
0x4850001C GENCLK_UNIT_SOFT_RESET_REG
0x48500020 GENCLK_UNIT_CLOCK_ENABLE_REG
0x48500024 GENCLK_GLO_INT_EN_REG
0x48500028 GENCLK_INT_EN_REG
0x4850002C GENCLK_INT_REG
0x48500030 GENCLK_INT_STAT_REG
0x48500034 GENCLK_INT_ALIAS_STAT_REG
0x48500038 GENCLK_HSPLL_CTRL_REG
0x4850003C GENCLK_DDRPLL_CTRL_REG
0x48500040 GENCLK_DDXPLL_CTRL_REG
0x48500044 GENCLK_ADTO_CTRL_REG
0x48500048 GENCLK_ADTO_INC_REG
0x4850004C GENCLK_VDTO_CTRL_REG
0x48500050 GENCLK_VDTO_INC_REG
0x48500054 GENCLK_PAD_PINMUX0_OENB_REG
0x48500058 GENCLK_PAD_PINMUX1_OENB_REG
0x48500060 GENCLK_DVCXO_CTRL_REG
0x48500064 GENCLK_STC_INT_REG
0x48500068 GENCLK_STC_FRAC_REG
0x4850006C GENCLK_STC_ERROR_REG
0x48500070 GENCLK_ATC_INT_REG
0x48500074 GENCLK_ATC_FRAC_REG
0x48500078 GENCLK_VTC_INT_REG
0x4850007C GENCLK_VTC_FRAC_REG
0x48500080 GENCLK_HTC_INT_REG
0x48500084 GENCLK_HTC_FRAC_REG
0x48500088 GENCLK_XTC_INT_REG
0x4850008C GENCLK_XTC_FRAC_REG
0x48500090 GENCLK_GPIO_MUX_0_REG
0x48500094 GENCLK_GPIO_MUX_1_REG
0x48500098 GENCLK_FEPLL_CTRL_REG
0x4850009C GENCLK_RESET_LATCH_REG
0x48502800 EPC_STATUS_REG
0x48502804 EPC_CONFIG_REG
0x48502808 EPC_COUNT0_REG
0x4850280C EPC_COMP0_REG
0x48502810 EPC_PRELOAD0_REG
0x48502814 EPC_TIMER_ENABLE_REG
0x48502818 EPC_PM_SELECTS_REG
0x4850281C EPC_PM_COUNTER_1_REG
0x48502820 EPC_PM_COUNTER_2_REG
0x48502824 EPC_DCACHE_CNT_REG
0x48502828 EPC_ICACHE_CNT_REG
0x4850282C EPC_COUNT1_REG
0x48502830 EPC_COMP1_REG
0x48502834 EPC_PRELOAD1_REG
0x48502838 EPC_COUNT2_REG
0x4850283C EPC_COMP2_REG
0x48502840 EPC_PRELOAD2_REG
0x48502844 EPC_COUNT3_REG
0x48502848 EPC_COMP3_REG
0x4850284C EPC_PRELOAD3_REG
0x48502850 EPC_COUNT4_REG
0x48502854 EPC_COMP4_REG
0x48502858 EPC_PRELOAD4_REG
0x4850285C EPC_INTR_MASK0_REG
0x48502860 EPC_INTR_MASK1_REG
0x48502864 EPC_INTR_MASK2_REG
0x48502868 EPC_INTR_MASK3_REG
0x4850286C EPC_INTR_MASK4_REG
0x48502870 EPC_INTR_MASK5_REG
0x48502874 EPC_INTR_STAT0_REG
0x48502878 EPC_INTR_STAT1_REG
0x4850287C EPC_INTR_STAT2_REG
0x48502880 EPC_INTR_STAT3_REG
0x48502884 EPC_INTR_STAT4_REG
0x48502888 EPC_INTR_STAT5_REG
0x4850288C EPC_EJTAG_ENABLE_REG
0x48502890 EPC_DEVICE_ID_REG
0x48502894 EPC_SKU_DISABLE_REG
0x48521000 GPIO0_DIR_REG
0x48521004 GPIO0_DATAIN_REG
0x48521008 GPIO0_DATAOUT_REG
0x48521010 GPIO0_POSEDGE_IRQ
0x48521014 GPIO0_NEGEDGE_IRQ
0x48521020 GPIO0_IRQ_STATUS
0x48521024 GPIO0_IRQ_MONITOR
0x48521040 GPIO1_DIR_REG
0x48521044 GPIO1_DATAIN_REG
0x48521048 GPIO1_DATAOUT_REG
0x48521050 GPIO1_POSEDGE_IRQ
0x48521054 GPIO1_NEGEDGE_IRQ
0x48521060 GPIO1_IRQ_STATUS
0x48521064 GPIO1_IRQ_MONITOR
0x48522000 I2CM0_WRITE_DATA
0x48522004 I2CM0_CONFIG0
0x48522008 I2CM0_CONFIG1
0x4852200C I2CM0_RCNT
0x48522010 I2CM0_READ_DATA
0x48522014 I2CM0_MONITOR_DATA
0x48522018 I2CM0_CORE_STATE
0x4852201C I2CM0_RWBCNT
0x48522020 I2CS0_DATA_IN
