ZMon>3view
Index Name              Current Default Minimum Maximum Type defUserMin defUserMax userDef userMin userMax
   1  Volume                100     100       0     100 User          0        100     100       0     100
   2  Mute                    0       0       0       1 User          0          1       0       0       1
   3  AudioMode               0       0       0       2 User          0          2       0       0       2
   4  Bass                   31      31       0      63 User          0         63      31       0      63
   5  Treble                 45      45       0      63 User          0         63      45       0      63
   6  Balance                31      31       0      63 User          0         63      31       0      63
   7  AudioLanguage           0       0       0       4 User          0          4       0       0       4
   8  Language                0       0       0       2 User          0          2       0       0       2
   9  EIA608_CC               0       0       0       4 User          0          4       0       0       4
  10  EIA708_CC               0       0       0       3 User          0          3       0       0       3
  11  TimeMode                1       1       0       1 User          0          1       1       0       1
  12  TimeZone                0       3       0       5 User          0          5       3       0       5
  13  GammeTable              0       0       0       2 User          0          2       0       0       2
  14  SPDIFOut                2       0       0       2 User          0          2       0       0       2
  15  SPDIFmuteAudio          1       0       0       1 User          0          1       0       0       1
  16  AspectRatio             0       0       0       2 User          0          2       0       0       2
  17  tvAspectRatio           2       0       0       2 User          0          2       0       0       2
  18  tvAutoPowerDn           0       4       0       4 User          0          4       4       0       4
  19  SourceOnPower           0       0       0       7 User          0          7       0       0       7
  20  MuteHW                  0       0       0       1 User          0          1       0       0       1
  21  Backlight               0       0       0       1 User          0          1       0       0       1
  22  BrtnessLCD             50      50       0     100 User          0        100      50       0     100
  23  PowerLCD                0       0       0       1 User          0          1       0       0       1
  24  ChMinor                 3       1       0   65536 User          0      65536       1       0   65536
  25  ChMain                  3       2       0    4096 User          0       4096       2       0    4096
  26  SourceNum               0       0       0       7 User          0          7       0       0       7
  27  pcCtrl1                 0       0       0     255 User          0        255       0       0     255
  28  pcCtrl2                 0       0       0     255 User          0        255       0       0     255
  29  pcCtrl3                 0       0       0     255 User          0        255       0       0     255
  30  pcCtrl4                 0       0       0     255 User          0        255       0       0     255
  31  password1               0       0       0     255 User          0        255       0       0     255
  32  password2               0       0       0     255 User          0        255       0       0     255
  33  password3               0       0       0     255 User          0        255       0       0     255
  34  password4               0       0       0     255 User          0        255       0       0     255
  35  TuningBand              0       0       0       4 User          0          4       0       0       4
